"","Date","GRAND LARCENY","FELONY ASSAULT","ROBBERY","BURGLARY","GRAND LARCENY OF MOTOR VEHICLE","RAPE","MURDER"
"417",2007-02-21,98,45,42,52,29,3,2
"418",2007-02-22,78,23,55,49,25,2,1
"419",2007-02-23,117,34,48,60,33,5,1
"420",2007-02-24,116,46,45,44,51,3,1
"421",2007-02-25,78,50,45,44,33,1,2
"422",2007-02-26,85,32,53,57,35,2,2
"423",2007-02-27,109,38,43,54,34,1,1
"424",2007-02-28,99,44,56,48,34,6,0
"425",2007-03-01,157,34,44,55,43,14,0
"426",2007-03-02,132,40,42,82,39,2,1
"427",2007-03-03,110,58,51,53,32,6,1
"428",2007-03-04,86,47,38,41,32,2,0
"429",2007-03-05,104,38,52,58,34,3,0
"430",2007-03-06,86,28,39,50,25,4,0
"431",2007-03-07,106,25,41,54,25,2,1
"432",2007-03-08,125,31,50,56,33,0,0
"433",2007-03-09,131,46,52,67,31,4,3
"434",2007-03-10,100,53,43,45,34,3,2
"435",2007-03-11,73,59,47,39,34,2,1
"436",2007-03-12,115,56,40,56,33,2,0
"437",2007-03-13,128,42,40,54,28,4,0
"438",2007-03-14,123,46,48,52,28,4,3
"439",2007-03-15,118,44,53,51,38,3,1
"440",2007-03-16,103,31,51,58,33,4,2
"441",2007-03-17,75,40,40,20,16,2,2
"442",2007-03-18,86,63,42,25,29,2,1
"443",2007-03-19,110,42,40,48,24,4,2
"444",2007-03-20,113,43,66,44,42,3,0
"445",2007-03-21,95,34,60,42,28,5,2
"446",2007-03-22,129,43,54,64,35,5,1
"447",2007-03-23,137,45,56,75,26,7,0
"448",2007-03-24,101,49,41,55,33,2,2
"449",2007-03-25,92,55,57,44,28,1,1
"450",2007-03-26,123,34,59,59,33,1,1
"451",2007-03-27,123,45,52,64,20,1,0
"452",2007-03-28,119,55,50,51,35,3,1
"453",2007-03-29,109,46,61,53,35,2,0
"454",2007-03-30,125,52,53,69,40,9,1
"455",2007-03-31,103,66,60,49,27,1,0
"456",2007-04-01,148,61,44,43,36,19,0
"457",2007-04-02,98,39,61,64,36,3,1
